qubits,depth,cpu,gpu,exit_cpu,exit_gpu
10,10,0.06765367530000001,1.8190379161999999,0,0
10,30,0.16308373680000002,1.7540461559999998,0,0
10,50,0.23568016969999994,1.7524573543,0,0
10,70,0.2569057607,1.7568663856999998,0,0
10,100,0.37527673939999995,1.8283892025999997,0,0
20,10,122.05253759130001,1.8211512611,0,0
20,30,350.2829460314,1.8652547918000004,0,0
20,50,574.6398670194001,1.9587523565000002,0,0
20,70,800.0627580409,1.9890226607000003,0,0
20,100,1136.9896113071,2.0831819222,0,0
30,10,2.5225899250000006,10.128721429199999,137,0
30,30,0.0006450191000000001,24.898345490399997,137,0
30,50,0.0006089145000000001,39.737582895100005,137,0
30,70,0.0005888903,55.12800990870001,137,0
30,100,0.0006642751111111111,77.41169177855556,137,0
