qubits,depth,cpu,gpu,exit_cpu,exit_gpu
10,10,.051054472,2.736995603,0,0
10,10,.055981617,1.689072572,0,0
10,10,.114500116,1.784178451,0,0
10,10,.065203662,1.757216116,0,0
10,10,.081449386,1.791893714,0,0
10,10,.061588826,1.719849550,0,0
10,10,.051192779,1.721429102,0,0
10,10,.071652792,1.793577691,0,0
10,10,.051424219,1.618582967,0,0
10,10,.072488884,1.577583396,0,0
10,30,.194805109,1.718175603,0,0
10,30,.145662057,1.824374297,0,0
10,30,.161929608,1.903113805,0,0
10,30,.157038682,1.751588616,0,0
10,30,.168839297,1.628770982,0,0
10,30,.168026946,1.678843820,0,0
10,30,.184974240,1.764760350,0,0
10,30,.114252447,1.771508885,0,0
10,30,.174971033,1.723469644,0,0
10,30,.160337949,1.775855558,0,0
10,50,.221332846,1.927882961,0,0
10,50,.231334141,1.760927148,0,0
10,50,.263518247,1.716252808,0,0
10,50,.195609596,1.706480975,0,0
10,50,.179907796,1.667275960,0,0
10,50,.203837860,1.827244421,0,0
10,50,.249647685,1.592024720,0,0
10,50,.256140874,1.690597248,0,0
10,50,.259006269,1.700291053,0,0
10,50,.296466383,1.935596249,0,0
10,70,.263387243,1.825803225,0,0
10,70,.266071040,1.764373311,0,0
10,70,.260240853,1.669058497,0,0
10,70,.267830956,1.889015153,0,0
10,70,.220169377,1.788360962,0,0
10,70,.264397242,1.774342937,0,0
10,70,.296615871,1.735185386,0,0
10,70,.293073277,1.764784762,0,0
10,70,.218525193,1.770316497,0,0
10,70,.218746555,1.587423127,0,0
10,100,.350910382,1.718659173,0,0
10,100,.342171326,1.870654723,0,0
10,100,.425153551,1.803542218,0,0
10,100,.346806802,1.959173347,0,0
10,100,.460555619,1.786027325,0,0
10,100,.404566315,1.812538791,0,0
10,100,.303796602,1.772256900,0,0
10,100,.361066089,1.882803068,0,0
10,100,.430574566,1.760145247,0,0
10,100,.327166142,1.918091234,0,0
20,10,123.882400122,1.839772984,0,0
20,10,121.303281214,1.891394017,0,0
20,10,121.452497262,1.695235053,0,0
20,10,121.218880328,1.729095158,0,0
20,10,121.625173338,1.839691487,0,0
20,10,121.307268082,1.904364977,0,0
20,10,120.877038351,1.840949135,0,0
