qubits,depth,cpu,gpu,exit_cpu,exit_gpu
10,10,.034237713,.379030271,0,0
10,10,.024615948,.300459447,0,0
10,10,.026587821,.303641465,0,0
10,10,.024509932,.300481655,0,0
10,10,.024143244,.301742967,0,0
10,10,.024196620,.297023157,0,0
10,10,.024241645,.301480855,0,0
10,10,.024269772,.308420059,0,0
10,10,.023898860,.302535768,0,0
10,10,.024423277,.298372310,0,0
10,30,.050630810,.306494457,0,0
10,30,.032910321,.305332729,0,0
10,30,.035953395,.306035097,0,0
10,30,.033132657,.307726714,0,0
10,30,.033000625,.304410297,0,0
10,30,.036247954,.306756826,0,0
10,30,.035854066,.307072378,0,0
10,30,.033201233,.309713915,0,0
10,30,.033273233,.306827002,0,0
10,30,.032676368,.303508857,0,0
10,50,.060990111,.327534373,0,0
10,50,.044801431,.318508159,0,0
10,50,.043239605,.314711294,0,0
10,50,.042977110,.324927235,0,0
10,50,.042769078,.316334175,0,0
10,50,.042843222,.310642204,0,0
10,50,.043104054,.329172677,0,0
10,50,.043084918,.314051901,0,0
10,50,.047404120,.309803324,0,0
10,50,.043116534,.316540031,0,0
10,70,.054691515,.319720352,0,0
10,70,.053179547,.325009732,0,0
10,70,.054106459,.319020928,0,0
10,70,.053666363,.320160833,0,0
10,70,.066997058,.334853481,0,0
10,70,.061681406,.333208520,0,0
10,70,.065282081,.328924325,0,0
10,70,.063586144,.334410152,0,0
10,70,.060961407,.332067814,0,0
10,70,.053986460,.322061538,0,0
10,100,.086240844,.335277096,0,0
10,100,.068496450,.329600006,0,0
10,100,.067999138,.330937638,0,0
10,100,.069205251,.332171335,0,0
10,100,.078757288,.331374246,0,0
10,100,.067772866,.334927048,0,0
10,100,.069831812,.332937095,0,0
10,100,.068149954,.330471462,0,0
10,100,.068845282,.328667365,0,0
10,100,.068571586,.335709929,0,0
20,10,3.633521602,.379292158,0,0
20,10,3.617680186,.378128063,0,0
20,10,4.078881507,.372957756,0,0
20,10,3.606295508,.372121084,0,0
20,10,3.615181465,.375231068,0,0
20,10,3.644548008,.376257630,0,0
20,10,3.614215741,.371542481,0,0
20,10,3.656807215,.371940870,0,0
20,10,3.723103000,.372817195,0,0
20,10,3.686332956,.371962453,0,0
20,30,10.795940351,.394094748,0,0
20,30,10.619278681,.388501834,0,0
20,30,10.592532201,.392084802,0,0
20,30,10.684497431,.396668955,0,0
